Method,Bias,MAD,MSE,MAPE,RSFE,Tracking_Signal,Next_Period_Forecast
Naive Forecasting,143838.22943659362,143838.22943659362,108089594301.73349,19.110888891457204,2301411.670985498,16,2359151.276159498
Moving Average,205284.74134392265,205284.74134392265,218521686710.13226,29.85586648429258,3284555.8615027624,16,1403407.9391577998
Weighted Moving Average,188164.4679074314,188164.4679074314,184229078336.64963,26.74970152965983,3010631.4865189022,16,1674213.8776585395
Exponential Smoothing,143845.6905958476,143845.6905958476,108100939211.7383,19.112081116881445,2301531.049533562,16,2359039.7662082356
Trend-Adjusted Exponential Smoothing,69703.98650430159,71317.84891916679,25110264021.170944,9.789079622851336,1115263.7840688254,15.637933574425244,3474008.154595723
Linear Trend Projection,227821.78363522812,229264.8097128881,292590887857.71106,27.10258385417161,3645148.53816365,15.899293671490737,778942.713848983
Seasonal Indices,NA,NA,NA,NA,NA,NA,NA
Additive Decomposition,NA,NA,NA,NA,NA,NA,NA
Multiplicative Decomposition,NA,NA,NA,NA,NA,NA,NA
Regression with Trend and Seasonal Dummy Variables,NA,NA,NA,NA,NA,NA,NA
